hour,실제 발전량,실제 전력 사용량,발전 사용량,구매 사용량,구매전력 소비량,겨울 전력 가격,봄 가을 전력 가격,여름 전력 가격
0,0.0,1735.2255891188993,0.0,707.1080471893124,1735.2255891188993,91.8,84.8,84.8
1,0.0,1692.9037842543075,0.0,890.0202250204056,1692.9037842543075,91.8,84.8,84.8
2,0.0,1666.609424724858,0.0,1418.6757417011463,1666.609424724858,91.8,84.8,84.8
3,0.0,1633.5739376470588,0.0,1543.3436993537434,1633.5739376470588,91.8,84.8,84.8
4,0.0,1617.613663070588,0.0,746.5919443209309,1617.613663070588,91.8,84.8,84.8
5,0.0,1648.865081079203,0.0,215.17597716024397,1648.865081079203,91.8,84.8,84.8
6,0.0,1734.799139097495,0.0,1011.1620525658041,1734.799139097495,91.8,84.8,84.8
7,124.03086264656616,1899.729083245389,124.03086264656616,789.9236762703756,1775.6982205988227,91.8,84.8,84.8
8,338.65378978224453,2122.8545502195825,75.61062637497616,75.61062637497616,2047.2439238446063,137.9,107.3,137.7
9,649.4658390802483,2338.6184538311195,72.82744069065257,72.82744069065257,2265.791013140467,195.4,107.3,137.7
10,934.1212221643565,2510.151368746072,38.830058458865096,38.830058458865096,2471.321310287207,195.4,107.3,137.7
11,1145.8717112846875,2525.4701233033015,1434.9009083683454,1434.9009083683454,1090.569214934956,195.4,138.0,219.8
12,1224.6819467670011,2528.1228900680458,40.66956698068725,40.66956698068725,2487.4533230873585,137.9,107.3,137.7
13,1202.1816332218507,2533.7489115166604,2033.3733273893854,2033.3733273893854,500.37558412727503,137.9,138.0,219.8
14,1069.2157817725754,2540.8695911349905,892.030200815967,892.030200815967,1648.8393903190236,137.9,138.0,219.8
15,838.6946139910813,2536.093144495332,2162.6845198824913,2162.6845198824913,373.40862461284087,137.9,138.0,219.8
16,512.9546962095875,2521.542452188425,1164.9145853122627,1795.0808303614413,1356.6278668761624,195.4,138.0,219.8
17,233.0404473244147,2439.1406753203414,233.0404473244147,2248.8438221775627,2206.1002279959266,195.4,138.0,219.8
18,82.51842251950947,2287.5149225387095,82.51842251950947,1212.3300654502063,2204.9965000192,195.4,138.0,219.8
19,39.37393394648829,2184.609138687666,39.37393394648829,1346.622640634142,2145.2352047411778,195.4,107.3,137.7
20,0.0,2063.7855929448956,0.0,58.83796425321498,2063.7855929448956,137.9,107.3,137.7
21,0.0,1904.3532678381785,0.0,647.2956001025541,1904.3532678381785,137.9,107.3,137.7
22,0.0,1788.6363203335484,0.0,1200.9375437135925,1788.6363203335484,91.8,84.8,84.8
23,0.0,1780.426211803036,0.0,837.1199813678231,1780.426211803036,91.8,84.8,84.8
